============================================================
蛋白质数据富集 (并发版) - 从RCSB PDB获取名称
============================================================

共 39226 条记录，使用10线程并发请求

  进度: 33000/39226 (API成功: 16565, 失败: 16435)
  进度: 33100/39226 (API成功: 16615, 失败: 16485)
  进度: 33200/39226 (API成功: 16665, 失败: 16535)
  进度: 33300/39226 (API成功: 16716, 失败: 16584)
  进度: 33400/39226 (API成功: 16766, 失败: 16634)
  进度: 33500/39226 (API成功: 16816, 失败: 16684)
  进度: 33600/39226 (API成功: 16866, 失败: 16734)
  进度: 33700/39226 (API成功: 16916, 失败: 16784)
  进度: 33800/39226 (API成功: 16966, 失败: 16834)
  进度: 33900/39226 (API成功: 17016, 失败: 16884)
  进度: 34000/39226 (API成功: 17066, 失败: 16934)
  进度: 34100/39226 (API成功: 17116, 失败: 16984)
  进度: 34200/39226 (API成功: 17166, 失败: 17034)
  进度: 34300/39226 (API成功: 17216, 失败: 17084)
  进度: 34400/39226 (API成功: 17266, 失败: 17134)
  进度: 34500/39226 (API成功: 17316, 失败: 17184)
  进度: 34600/39226 (API成功: 17366, 失败: 17234)
  进度: 34700/39226 (API成功: 17416, 失败: 17284)
  进度: 34800/39226 (API成功: 17466, 失败: 17334)
  进度: 34900/39226 (API成功: 17516, 失败: 17384)
  进度: 35000/39226 (API成功: 17565, 失败: 17435)
  进度: 35100/39226 (API成功: 17615, 失败: 17485)
  进度: 35200/39226 (API成功: 17665, 失败: 17535)
  进度: 35300/39226 (API成功: 17715, 失败: 17585)
  进度: 35400/39226 (API成功: 17765, 失败: 17635)
  进度: 35500/39226 (API成功: 17814, 失败: 17686)
  进度: 35600/39226 (API成功: 17864, 失败: 17736)
  进度: 35700/39226 (API成功: 17914, 失败: 17786)
  进度: 35800/39226 (API成功: 17964, 失败: 17836)
  进度: 35900/39226 (API成功: 18014, 失败: 17886)
  进度: 36000/39226 (API成功: 18064, 失败: 17936)
  进度: 36100/39226 (API成功: 18114, 失败: 17986)
  进度: 36200/39226 (API成功: 18164, 失败: 18036)
  进度: 36300/39226 (API成功: 18214, 失败: 18086)
  进度: 36400/39226 (API成功: 18264, 失败: 18136)
  进度: 36500/39226 (API成功: 18314, 失败: 18186)
  进度: 36600/39226 (API成功: 18364, 失败: 18236)
  进度: 36700/39226 (API成功: 18414, 失败: 18286)
  进度: 36800/39226 (API成功: 18464, 失败: 18336)
  进度: 36900/39226 (API成功: 18514, 失败: 18386)
  进度: 37000/39226 (API成功: 18564, 失败: 18436)
  进度: 37100/39226 (API成功: 18613, 失败: 18487)
  进度: 37200/39226 (API成功: 18664, 失败: 18536)
  进度: 37300/39226 (API成功: 18714, 失败: 18586)
  进度: 37400/39226 (API成功: 18764, 失败: 18636)
  进度: 37500/39226 (API成功: 18814, 失败: 18686)
  进度: 37600/39226 (API成功: 18864, 失败: 18736)
  进度: 37700/39226 (API成功: 18914, 失败: 18786)
  进度: 37800/39226 (API成功: 18964, 失败: 18836)
  进度: 37900/39226 (API成功: 19014, 失败: 18886)
  进度: 38000/39226 (API成功: 19064, 失败: 18936)
  进度: 38100/39226 (API成功: 19114, 失败: 18986)
  进度: 38200/39226 (API成功: 19164, 失败: 19036)
  进度: 38300/39226 (API成功: 19214, 失败: 19086)
  进度: 38400/39226 (API成功: 19264, 失败: 19136)
  进度: 38500/39226 (API成功: 19314, 失败: 19186)
  进度: 38600/39226 (API成功: 19364, 失败: 19236)
  进度: 38700/39226 (API成功: 19414, 失败: 19286)
  进度: 38800/39226 (API成功: 19464, 失败: 19336)
  进度: 38900/39226 (API成功: 19514, 失败: 19386)
  进度: 39000/39226 (API成功: 19563, 失败: 19437)
  进度: 39100/39226 (API成功: 19614, 失败: 19486)
  进度: 39200/39226 (API成功: 19664, 失败: 19536)

============================================================
完成! 共更新 39226 条记录
API 成功获取名称: 19682
API 未能获取: 19544
============================================================
